Token,Symbol,Name,exch_seg
20218,750GA30-SG,750GA30,NSE
17671,743TN53-SG,743TN53,NSE
21241,AUBANK-BL,AUBANK,NSE
16789,792TCH25-N3,792TCH25,NSE
13424,EMKAY-BE,EMKAY,NSE
20181,AKSHARCHEM-BL,AKSHARCHEM,NSE
19647,MAXESTATES-BL,MAXESTATES,NSE
15251,866ICCL23A-NY,866ICCL23A,NSE
11322,IHFL22A-YW,IHFL22A,NSE
14825,777HR33-SG,777HR33,NSE
18182,FISTIP3GP-MF,FISTIP3GP,NSE
22019,704MZ30-SG,704MZ30,NSE
22839,1035UCL26-NA,1035UCL26,NSE
3553,EQUIPPP-BE,EQUIPPP,NSE
8059,11DLSL25-NV,11DLSL25,NSE
8828,GAEL-EQ,GAEL,NSE
12552,KTKBANK-BL,KTKBANK,NSE
24538,MAITHANALL-EQ,MAITHANALL,NSE
1511,ASTERDM-BL,ASTERDM,NSE
12612,MUKANDLTD-BL,MUKANDLTD,NSE
24092,91D190924-TB,91D190924,NSE
12995,OSWALAGRO-BL,OSWALAGRO,NSE
20220,768UP34A-SG,768UP34A,NSE
12525,JUBLPHARMA-BL,JUBLPHARMA,NSE
1254,673TN40-SG,673TN40,NSE
5220,BFSI-EQ,BFSI,NSE
12074,63MOONS-BL,63MOONS,NSE
9558,AKSHAR-EQ,AKSHAR,NSE
19187,SFL-BL,SFL,NSE
7149,ANANDRATHI-BL,ANANDRATHI,NSE
16981,745PN34-SG,745PN34,NSE
4745,BANKINDIA-EQ,BANKINDIA,NSE
6006,COASTCORP-EQ,COASTCORP,NSE
30984,846REC28-N6,846REC28,NSE
12515,JINDALSAW-BL,JINDALSAW,NSE
22990,74TN34-SG,74TN34,NSE
22996,741KA36-SG,741KA36,NSE
22720,ENTERO-BL,ENTERO,NSE
20321,SHANKARA-EQ,SHANKARA,NSE
17545,AMRUTANJAN-BL,AMRUTANJAN,NSE
8721,744AP42-SG,744AP42,NSE
3707,686MH32-SG,686MH32,NSE
21624,840TPL28-N2,840TPL28,NSE
80,57MH24-SG,57MH24,NSE
12446,HINDPETRO-BL,HINDPETRO,NSE
7915,EIMCOELECO-BE,EIMCOELECO,NSE
6162,ARTNIRMAN-BL,ARTNIRMAN,NSE
20360,779PN37-SG,779PN37,NSE
16945,NEULANDLAB-BL,NEULANDLAB,NSE
20048,9MMFSML-N2,9MMFSML,NSE
3148,SIDDHIKA-SM,SIDDHIKA,NSE
15783,732TS48-SG,732TS48,NSE
2018,LUMAXIND-EQ,LUMAXIND,NSE
3088,INDOSTAR-EQ,INDOSTAR,NSE
20880,PSPPROJECT-BL,PSPPROJECT,NSE
12259,BHARTIARTL-BL,BHARTIARTL,NSE
21253,AXISNIFTY-BL,AXISNIFTY,NSE
13818,LTFOODS-BL,LTFOODS,NSE
23551,885NOM28-N2,885NOM28,NSE
14615,SIMBHALS-BL,SIMBHALS,NSE
745,SBIETFIT-BL,SBIETFIT,NSE
14378,774MH33-SG,774MH33,NSE
2306,BESTAGRO-EQ,BESTAGRO,NSE
13756,SHIVAMAUTO-EQ,SHIVAMAUTO,NSE
23326,743TN34-SG,743TN34,NSE
10462,781RJ32-SG,781RJ32,NSE
21436,TATSILV-BL,TATSILV,NSE
626,691AP39-SG,691AP39,NSE
15311,SEPC-BL,SEPC,NSE
9523,SFMP1GD-MF,SFMP1GD,NSE
4809,KCPSUGIND-EQ,KCPSUGIND,NSE
2275,IRISDOREME-EQ,IRISDOREME,NSE
9363,MSTCLTD-BL,MSTCLTD,NSE
22070,670RJ50-SG,670RJ50,NSE
6809,STEELCAS-BL,STEELCAS,NSE
29553,NIFTYIETF-EQ,NIFTYIETF,NSE
17641,SUNTECK-EQ,SUNTECK,NSE
15220,ICCL25-NS,ICCL25,NSE
14902,ELECTHERM-BE,ELECTHERM,NSE
14344,SEQUENT-BL,SEQUENT,NSE
11647,KOTARISUG-EQ,KOTARISUG,NSE
22072,718RJ30-SG,718RJ30,NSE
18556,JLHL-BL,JLHL,NSE
30089,ORIENTCEM-EQ,ORIENTCEM,NSE
22112,674TN50-SG,674TN50,NSE
12041,UTIDMP35P1-MF,UTIDMP35P1,NSE
12181,ABB-BL,ABB,NSE
15281,ONMOBILE-BL,ONMOBILE,NSE
1896,661RJ31-SG,661RJ31,NSE
20588,802ABHF28-N1,802ABHF28,NSE
16296,INFIBEAM-BL,INFIBEAM,NSE
7153,63PY27-SG,63PY27,NSE
20221,77UP35-SG,77UP35,NSE
316,705MZ35-SG,705MZ35,NSE
637,CHAMBLFERT-EQ,CHAMBLFERT,NSE
8292,71TN32-SG,71TN32,NSE
29008,TVSHLTD-EQ,TVSHLTD,NSE
23600,91D250724-TB,91D250724,NSE
4138,GS070625C-GS,GS070625C,NSE
483,AISL-ST,AISL,NSE
2860,CRAFTSMAN-BL,CRAFTSMAN,NSE
13954,PARACABLES-BL,PARACABLES,NSE
18561,716GS2050-GS,716GS2050,NSE
17433,NETWEB-EQ,NETWEB,NSE
16290,737AP33-SG,737AP33,NSE
18285,HNGSNGBEES-BL,HNGSNGBEES,NSE
14605,WEBELSOLAR-BL,WEBELSOLAR,NSE
10204,793TS34-SG,793TS34,NSE
3704,681MH31-SG,681MH31,NSE
8803,OBCL-BL,OBCL,NSE
19559,BHANDARI-BL,BHANDARI,NSE
1454,655GA30A-SG,655GA30A,NSE
22165,745UK30-SG,745UK30,NSE
13587,ACE-EQ,ACE,NSE
31766,873NTPC28-N5,873NTPC28,NSE
5471,695TN31B-SG,695TN31B,NSE
10763,SILVERADD-BL,SILVERADD,NSE
11195,INDIGO-EQ,INDIGO,NSE
5957,BSLSENETFG-EQ,BSLSENETFG,NSE
17546,925IHFL28I-BA,925IHFL28I,NSE
13043,BIOCON-BL,BIOCON,NSE
4757,688UP31A-SG,688UP31A,NSE
5171,SBIETFCON-BL,SBIETFCON,NSE
8168,SPENCERS-BL,SPENCERS,NSE
11355,PTC-EQ,PTC,NSE
17637,745TS30A-SG,745TS30A,NSE
20189,773TS40-SG,773TS40,NSE
10531,761GJ32-SG,761GJ32,NSE
22298,642PN30-SG,642PN30,NSE
17668,745AP40A-SG,745AP40A,NSE
15285,QUICKTOUCH-SM,QUICKTOUCH,NSE
11992,SYNCOMF-EQ,SYNCOMF,NSE
23875,737PN36-SG,737PN36,NSE
12520,JKPAPER-BL,JKPAPER,NSE
8027,726GS2029-GS,726GS2029,NSE
18344,VPRPL-BL,VPRPL,NSE
2542,704MH29-SG,704MH29,NSE
6686,DRSDILIP-SM,DRSDILIP,NSE
18177,IFD3GPD-MF,IFD3GPD,NSE
21542,76TS43-SG,76TS43,NSE
23325,747RJ33-SG,747RJ33,NSE
14824,778RJ33-SG,778RJ33,NSE
4108,GS020125C-GS,GS020125C,NSE
18163,BPF02RWR-MF,BPF02RWR,NSE
14252,SGBOCT27VI-GB,SGBOCT27VI,NSE
22705,748WB44-SG,748WB44,NSE
154,APCOTEXIND-EQ,APCOTEXIND,NSE
29433,ANKITMETAL-BL,ANKITMETAL,NSE
2003,SGBJAN29X-GB,SGBJAN29X,NSE
6063,LICNETFGSC-BL,LICNETFGSC,NSE
24103,UIAIPRPIII-MF,UIAIPRPIII,NSE
4883,695MH32-SG,695MH32,NSE
12236,BAJFINANCE-BL,BAJFINANCE,NSE
18214,TEXMOPIPES-EQ,TEXMOPIPES,NSE
24234,OMINFRAL-BL,OMINFRAL,NSE
6101,70MN31A-SG,70MN31A,NSE
19302,ITDC-BL,ITDC,NSE
13147,PVRINOX-EQ,PVRINOX,NSE
5986,688KA31-SG,688KA31,NSE
18354,SAHAJ-SM,SAHAJ,NSE
10640,795HR37-SG,795HR37,NSE
22204,799TS35-SG,799TS35,NSE
928,ELECTCAST-EQ,ELECTCAST,NSE
2092,689WB41-SG,689WB41,NSE
18696,746GA33-SG,746GA33,NSE
5407,CARTRADE-EQ,CARTRADE,NSE
4044,GS220824C-GS,GS220824C,NSE
13778,762UP35-SG,762UP35,NSE
4898,FDC-EQ,FDC,NSE
22678,CAPITALSFB-BL,CAPITALSFB,NSE
17942,HINDCOPPER-BL,HINDCOPPER,NSE
17358,UTKARSHBNK-EQ,UTKARSHBNK,NSE
437,691NL30-SG,691NL30,NSE
16374,735RJ43-SG,735RJ43,NSE
13416,RSYSTEMS-BL,RSYSTEMS,NSE
13130,REPRO-BL,REPRO,NSE
19169,751MP38-SG,751MP38,NSE
7225,JETFREIGHT-BL,JETFREIGHT,NSE
12391,GICHSGFIN-BL,GICHSGFIN,NSE
6156,ARTNIRMAN-EQ,ARTNIRMAN,NSE
14696,990IBHFL26-AJ,990IBHFL26,NSE
212,ASHOKLEY-EQ,ASHOKLEY,NSE
19891,773UP33A-SG,773UP33A,NSE
8681,717TN30-SG,717TN30,NSE
19558,364D171024-TB,364D171024,NSE
9035,AUSOMENT-BE,AUSOMENT,NSE
12174,HNDFDS-BL,HNDFDS,NSE
5718,SHREMINVIT-IV,SHREMINVIT,NSE
11241,HDFCGROWTH-EQ,HDFCGROWTH,NSE
21646,728JK30-SG,728JK30,NSE
9221,866IBHL25-YP,866IBHL25,NSE
12524,JSWSTEEL-BL,JSWSTEEL,NSE
18507,TVVISION-BL,TVVISION,NSE
22168,688UK30-SG,688UK30,NSE
19458,PLAZACABLE-EQ,PLAZACABLE,NSE
6012,JAINAM-SM,JAINAM,NSE
20472,771AP31-SG,771AP31,NSE
22297,654MP35-SG,654MP35,NSE
18413,74AP43-SG,74AP43,NSE
20603,SHREEOSFM-SM,SHREEOSFM,NSE
17172,91SFL27-ZI,91SFL27,NSE
22374,65TN30-SG,65TN30,NSE
22201,785UK30-SG,785UK30,NSE
14565,ZENITHSTL-BL,ZENITHSTL,NSE
3772,WILLAMAGOR-EQ,WILLAMAGOR,NSE
7374,STAR-EQ,STAR,NSE
3045,SBIN-EQ,SBIN,NSE
1583,TARC-BL,TARC,NSE
10999,MARUTI-EQ,MARUTI,NSE
14618,CHEMBOND-EQ,CHEMBOND,NSE
6988,683KA31-SG,683KA31,NSE
781,DALMIASUG-EQ,DALMIASUG,NSE
1320,GALAXYSURF-BL,GALAXYSURF,NSE
3911,CAPLIPOINT-BL,CAPLIPOINT,NSE
21877,774BR39-SG,774BR39,NSE
5078,627RJ26-SG,627RJ26,NSE
4552,GS220250C-GS,GS220250C,NSE
12739,SOTL-BL,SOTL,NSE
18235,LORDSCHLO-BE,LORDSCHLO,NSE
14162,766UP33-SG,766UP33,NSE
14444,NAHARSPING-BL,NAHARSPING,NSE
10722,726GS2032-GS,726GS2032,NSE
7176,MICEL-BL,MICEL,NSE
1767,890NHB34-N7,890NHB34,NSE
7295,697AS31A-SG,697AS31A,NSE
5523,497AS24-SG,497AS24,NSE
593,661KA30-SG,661KA30,NSE
5041,712AP35-SG,712AP35,NSE
8506,MID150BEES-EQ,MID150BEES,NSE
24177,825NOM27-N0,825NOM27,NSE
22090,716UP29-SG,716UP29,NSE
2609,LEMONTREE-BL,LEMONTREE,NSE
21512,764HP39-SG,764HP39,NSE
7325,DCMSRIND-EQ,DCMSRIND,NSE
23637,752RJ37-SG,752RJ37,NSE
21930,609KA28-SG,609KA28,NSE
8428,RAJRILTD-BE,RAJRILTD,NSE
29,667MH31-SG,667MH31,NSE
3595,MOKSH-BE,MOKSH,NSE
2664,PIDILITIND-EQ,PIDILITIND,NSE
7361,SETFNIFBK-EQ,SETFNIFBK,NSE
22891,832TPL27-N5,832TPL27,NSE
17256,ALBERTDAVD-EQ,ALBERTDAVD,NSE
13498,PFOCUS-BL,PFOCUS,NSE
1824,582RJ27-SG,582RJ27,NSE
12111,MOREPENLAB-BL,MOREPENLAB,NSE
17327,736KL38-SG,736KL38,NSE
21843,DIAMONDYD-BL,DIAMONDYD,NSE
23347,747CG34A-SG,747CG34A,NSE
20715,865LTF26-NN,865LTF26,NSE
13515,OMKARCHEM-BZ,OMKARCHEM,NSE
22265,64KA30-SG,64KA30,NSE
22633,769LIC34-N0,769LIC34,NSE
23714,WINSOL-SM,WINSOL,NSE
18151,TVSSCS-EQ,TVSSCS,NSE
99926045,Nifty50 Value 20,NIFTY50 VALUE 20,NSE
23220,182D190924-TB,182D190924,NSE
18161,BPF02RMD-MF,BPF02RMD,NSE
630,694TS50A-SG,694TS50A,NSE
19717,773GA33-SG,773GA33,NSE
12659,PATELENG-BL,PATELENG,NSE
22094,686UP30-SG,686UP30,NSE
13288,AHL-EQ,AHL,NSE
22210,725TS28-SG,725TS28,NSE
10074,EMAMIPAP-EQ,EMAMIPAP,NSE
23970,1075IHF34-ZR,1075IHF34,NSE
22059,654RJ30-SG,654RJ30,NSE
14288,GOLDETF-BL,GOLDETF,NSE
20724,755GJ31-SG,755GJ31,NSE
3518,TORNTPHARM-EQ,TORNTPHARM,NSE
23743,TBOTEK-BL,TBOTEK,NSE
14088,761TS32-SG,761TS32,NSE
3373,678RJ31A-SG,678RJ31A,NSE
4395,GS220261P-GS,GS220261P,NSE
12585,MARICO-BL,MARICO,NSE
8930,729AP34-SG,729AP34,NSE
19686,BLUEJET-EQ,BLUEJET,NSE
17415,PREMEXPLN-BE,PREMEXPLN,NSE
8480,XELPMOC-BL,XELPMOC,NSE
22429,MAXIND-BL,MAXIND,NSE
18179,FICRF3GP-MF,FICRF3GP,NSE
5105,ABSLFTTJDN-MF,ABSLFTTJDN,NSE
13355,MALUPAPER-BE,MALUPAPER,NSE
22866,742TN34-SG,742TN34,NSE
14894,CENTRALBK-EQ,CENTRALBK,NSE
22813,747RL34-NL,747RL34,NSE
6663,SIGACHI-EQ,SIGACHI,NSE
25392,PANAMAPET-EQ,PANAMAPET,NSE
11277,762MH30A-SG,762MH30A,NSE
15154,MADHAV-BL,MADHAV,NSE
11337,847IHFL25-Z2,847IHFL25,NSE
7691,712AS32-SG,712AS32,NSE
8185,MOMOMENTUM-BL,MOMOMENTUM,NSE
14993,SOTAC-SM,SOTAC,NSE
16088,PRINCEPIPE-BL,PRINCEPIPE,NSE
958,ESCORTS-EQ,ESCORTS,NSE
15259,RPOWER-EQ,RPOWER,NSE
3073,684JK31-SG,684JK31,NSE
10761,SILVERADD-EQ,SILVERADD,NSE
18917,PNBHOUSING-BL,PNBHOUSING,NSE
4136,BIOFILCHEM-EQ,BIOFILCHEM,NSE
24187,PIIND-BL,PIIND,NSE
21324,SEITINVIT-BL,SEITINVIT,NSE
8553,H1162D46RG-MF,H1162D46RG,NSE
19747,778BR31-SG,778BR31,NSE
3827,ZUARIIND-EQ,ZUARIIND,NSE
8082,SILVERBEES-BL,SILVERBEES,NSE
2019,662HR41-SG,662HR41,NSE
12334,DIVISLAB-BL,DIVISLAB,NSE
12851,TVTODAY-BL,TVTODAY,NSE
20167,ROXHITECH-SM,ROXHITECH,NSE
16977,742ML32-SG,742ML32,NSE
14608,GSLSU-BL,GSLSU,NSE
18831,TARAPUR-BE,TARAPUR,NSE
5113,SGBJUL29IV-GB,SGBJUL29IV,NSE
9594,POLYCAB-BL,POLYCAB,NSE
20700,815LTF24-NK,815LTF24,NSE
23447,181NSETEST-EQ,181NSETEST,NSE
1570,GMMPFAUDLR-EQ,GMMPFAUDLR,NSE
14767,081NSETEST-EQ,081NSETEST,NSE
6836,FOCUS-EQ,FOCUS,NSE
18566,RRKABEL-EQ,RRKABEL,NSE
4566,RUCHINFRA-EQ,RUCHINFRA,NSE
4487,ALKYLAMINE-EQ,ALKYLAMINE,NSE
22119,705TN26-SG,705TN26,NSE
4160,NORBTEAEXP-EQ,NORBTEAEXP,NSE
21711,68PN26-SG,68PN26,NSE
10588,SHREEPUSHK-EQ,SHREEPUSHK,NSE
8842,UMAEXPORTS-EQ,UMAEXPORTS,NSE
14849,785WB42-SG,785WB42,NSE
13244,763HR32-SG,763HR32,NSE
416,56RJ24-SG,56RJ24,NSE
3475,THERMAX-EQ,THERMAX,NSE
5382,EPIGRAL-EQ,EPIGRAL,NSE
3659,678MH31-SG,678MH31,NSE
9852,975NFL24-N4,975NFL24,NSE
24143,1050IIFL29-ND,1050IIFL29,NSE
25314,UFIQIPRRVI-MF,UFIQIPRRVI,NSE
12714,RENUKA-BL,RENUKA,NSE
17797,SOMICONVEY-BL,SOMICONVEY,NSE
16829,IKIO-BL,IKIO,NSE
21058,INDIFRA-SM,INDIFRA,NSE
21910,663KL30-SG,663KL30,NSE
10384,802WB37-SG,802WB37,NSE
23410,BLUEPEBBLE-SM,BLUEPEBBLE,NSE
12496,ITDCEM-BL,ITDCEM,NSE
14690,GOACARBON-BL,GOACARBON,NSE
13696,SAH-BL,SAH,NSE
23734,858CIF27-NU,858CIF27,NSE
21362,SALASAR-EQ,SALASAR,NSE
11538,HDFCMOMENT-EQ,HDFCMOMENT,NSE
22917,865CIFC865-NP,865CIFC865,NSE
21911,591KL25-SG,591KL25,NSE
15073,BVCL-EQ,BVCL,NSE
18010,BPF02D4R-MF,BPF02D4R,NSE
25608,INDOTHAI-EQ,INDOTHAI,NSE
20833,MOIL-BL,MOIL,NSE
18337,74RJ41-SG,74RJ41,NSE
22877,743MH35-SG,743MH35,NSE
20477,772KA35A-SG,772KA35A,NSE
599,645MH27-SG,645MH27,NSE
18862,SGBAPR28I-GB,SGBAPR28I,NSE
12572,POONAWALLA-BL,POONAWALLA,NSE
6485,708AP35-SG,708AP35,NSE
1167,NEWGEN-BL,NEWGEN,NSE
6079,DYNAMIC-SM,DYNAMIC,NSE
11408,781UP32-SG,781UP32,NSE
18281,HDFCLIQUID-BL,HDFCLIQUID,NSE
1791,KANPRPLA-BL,KANPRPLA,NSE
9570,KHFM-SM,KHFM,NSE
7860,INOXWIND-BL,INOXWIND,NSE
13739,GLOBALVECT-BE,GLOBALVECT,NSE
22147,723WB30-SG,723WB30,NSE
15415,ATAM-BL,ATAM,NSE
6435,AIRTELPP-E1,AIRTELPP,NSE
14921,TAKE-BL,TAKE,NSE
313,71MH32-SG,71MH32,NSE
16346,736RJ33-SG,736RJ33,NSE
20519,724HR29-SG,724HR29,NSE
16397,732TS49-SG,732TS49,NSE
11612,PHANTOMFX-SM,PHANTOMFX,NSE
4793,706KL41-SG,706KL41,NSE
23497,744TS51-SG,744TS51,NSE
11040,DCMNVL-BL,DCMNVL,NSE
18908,PNBHOUSING-EQ,PNBHOUSING,NSE
15254,CEATLTD-EQ,CEATLTD,NSE
22998,NMFINQIDP1-MF,NMFINQIDP1,NSE
4980,675BR27-SG,675BR27,NSE
5622,ITDCEM-EQ,ITDCEM,NSE
22997,74JK44-SG,74JK44,NSE
24101,736HR34-SG,736HR34,NSE
21831,TEXRAIL-BL,TEXRAIL,NSE
20745,758TS41-SG,758TS41,NSE
623,SGBDEC25-GB,SGBDEC25,NSE
23103,736TS50-SG,736TS50,NSE
8332,717WB32-SG,717WB32,NSE
10634,ASAL-EQ,ASAL,NSE
14172,SHERA-SM,SHERA,NSE
23681,742AP44-SG,742AP44,NSE
20848,768IREDA33-N8,768IREDA33,NSE
742,COSMOFIRST-EQ,COSMOFIRST,NSE
14440,NAHARSPING-EQ,NAHARSPING,NSE
969,675RJ30-SG,675RJ30,NSE
8580,74HR37-SG,74HR37,NSE
12606,MRF-BL,MRF,NSE
23812,738JK51-SG,738JK51,NSE
24037,1092GPUI25-N0,1092GPUI25,NSE
12825,TCS-BL,TCS,NSE
12303,77HR34-SG,77HR34,NSE
21422,647GJ30-SG,647GJ30,NSE
20197,76JK53A-SG,76JK53A,NSE
15109,759RJ48-SG,759RJ48,NSE
14201,TIMKEN-BL,TIMKEN,NSE
20056,866IIFC34B-N3,866IIFC34B,NSE
11287,UPL-EQ,UPL,NSE
12633,NIPPOBATRY-BL,NIPPOBATRY,NSE
10578,MPSLTD-EQ,MPSLTD,NSE
1430,668MZ31-SG,668MZ31,NSE
11895,DCXINDIA-EQ,DCXINDIA,NSE
7537,LCCINFOTEC-BE,LCCINFOTEC,NSE
7821,715UP32-SG,715UP32,NSE
8495,734TS35-SG,734TS35,NSE
8455,H1861D46RG-MF,H1861D46RG,NSE
23751,787LIC29-N3,787LIC29,NSE
13119,QUICKHEAL-BL,QUICKHEAL,NSE
14707,TIMETECHNO-EQ,TIMETECHNO,NSE
3971,GOCLCORP-BL,GOCLCORP,NSE
18815,GICL-SM,GICL,NSE
12207,APCOTEXIND-BL,APCOTEXIND,NSE
23005,364D060325-TB,364D060325,NSE
277,GICRE-EQ,GICRE,NSE
12191,AJANTPHARM-BL,AJANTPHARM,NSE
11848,NH-BL,NH,NSE
17824,ARSHIYA-BL,ARSHIYA,NSE
2539,702HR29-SG,702HR29,NSE
22015,720MZ30-SG,720MZ30,NSE
3719,703TN46-SG,703TN46,NSE
34,ADORWELD-EQ,ADORWELD,NSE
10207,793TS35-SG,793TS35,NSE
12068,DCMFINSERV-BL,DCMFINSERV,NSE
22799,DEEM-SM,DEEM,NSE
17272,SETFGOLD-EQ,SETFGOLD,NSE
676,EXIDEIND-EQ,EXIDEIND,NSE
14828,WSI-EQ,WSI,NSE
23656,789SDIL29-N1,789SDIL29,NSE
3004,SUVIDHAA-BL,SUVIDHAA,NSE
23758,742AP46-SG,742AP46,NSE
14233,HDFCSML250-EQ,HDFCSML250,NSE
12558,LICHSGFIN-BL,LICHSGFIN,NSE
14161,772BR33-SG,772BR33,NSE
1593,MGEL-EQ,MGEL,NSE
22377,MAXHEALTH-EQ,MAXHEALTH,NSE
1637,BECTORFOOD-BL,BECTORFOOD,NSE
22749,748UP34-SG,748UP34,NSE
6556,694AS31-SG,694AS31,NSE
30125,IBULHSGFIN-EQ,IBULHSGFIN,NSE
3382,692HR36-SG,692HR36,NSE
22069,603RJ25-SG,603RJ25,NSE
3703,VIPIND-EQ,VIPIND,NSE
19639,ITETF-BL,ITETF,NSE
14296,SEQUENT-EQ,SEQUENT,NSE
12098,KEYFINSERV-BL,KEYFINSERV,NSE
22457,671TS50-SG,671TS50,NSE
7694,718KA33-SG,718KA33,NSE
6271,SELMC-BL,SELMC,NSE
2711,PRECOT-EQ,PRECOT,NSE
10190,781TN52-SG,781TN52,NSE
3388,691AP40-SG,691AP40,NSE
9414,RAINBOW-BL,RAINBOW,NSE
14944,GSEC10YEAR-BL,GSEC10YEAR,NSE
22368,65KA30-SG,65KA30,NSE
29736,NIBL-BL,NIBL,NSE
16249,INFIBEAM-EQ,INFIBEAM,NSE
20146,718AS30-SG,718AS30,NSE
23775,VERITAAS-SM,VERITAAS,NSE
6317,663HR28-SG,663HR28,NSE
13688,ACLGATI-EQ,ACLGATI,NSE
22482,813LTF29-NP,813LTF29,NSE
10869,GVPTECH-BL,GVPTECH,NSE
2716,BUTTERFLY-EQ,BUTTERFLY,NSE
12456,CAGL25A-N4,CAGL25A,NSE
1449,593CG26-SG,593CG26,NSE
19463,PLAZACABLE-BL,PLAZACABLE,NSE
18244,DEEPENR-EQ,DEEPENR,NSE
18204,749BR31-SG,749BR31,NSE
13815,KAMOPAINTS-BL,KAMOPAINTS,NSE
20182,ASHOKA-EQ,ASHOKA,NSE
4387,GS070626C-GS,GS070626C,NSE
14731,HFMPM23DND-MF,HFMPM23DND,NSE
20206,URJA-BL,URJA,NSE
22135,633TN30-SG,633TN30,NSE
24406,ASHIANA-BL,ASHIANA,NSE
17996,PGIMCSR2G-MF,PGIMCSR2G,NSE
21975,657MP30-SG,657MP30,NSE
2295,HLEGLAS-BL,HLEGLAS,NSE
21994,705NL30-SG,705NL30,NSE
16638,726HP29-SG,726HP29,NSE
10543,765RJ32-SG,765RJ32,NSE
1709,617KL27-SG,617KL27,NSE
19179,753HR33-SG,753HR33,NSE
25358,PGEL-EQ,PGEL,NSE
13002,PREMIERPOL-BL,PREMIERPOL,NSE
19224,SENSEXETF-EQ,SENSEXETF,NSE
19127,UDS-BL,UDS,NSE
445,5PAISA-EQ,5PAISA,NSE
10638,777RJ32-SG,777RJ32,NSE
18166,BPF01D2G-MF,BPF01D2G,NSE
18032,MBLINFRA-BL,MBLINFRA,NSE
23332,75MH44-SG,75MH44,NSE
29982,UFDQIPIGVI-MF,UFDQIPIGVI,NSE
12794,SUNPHARMA-BL,SUNPHARMA,NSE
14071,SAGCEM-BL,SAGCEM,NSE
13570,RBMINFRA-SM,RBMINFRA,NSE
1597,INGERRAND-EQ,INGERRAND,NSE
20744,764KA39-SG,764KA39,NSE
16655,729KL51-SG,729KL51,NSE
11809,IIFL-EQ,IIFL,NSE
11730,728IRFC30-NG,728IRFC30,NSE
6280,MEDICAMEQ-BL,MEDICAMEQ,NSE
4494,GS220836C-GS,GS220836C,NSE
20106,971IHFL28A-NT,971IHFL28A,NSE
12644,OSIAHYPER-BL,OSIAHYPER,NSE
1075,65GJ30-SG,65GJ30,NSE
5827,935PEL33A-NM,935PEL33A,NSE
30128,IBULHSGFIN-BL,IBULHSGFIN,NSE
13419,SUPREMEINF-BZ,SUPREMEINF,NSE
22702,749BR39-SG,749BR39,NSE
24383,792TCHF34-N0,792TCHF34,NSE
17991,TRF-BE,TRF,NSE
7159,689KA33-SG,689KA33,NSE
7500,629RJ26A-SG,629RJ26A,NSE
20366,764RJ49-SG,764RJ49,NSE
14008,AVTNPL-EQ,AVTNPL,NSE
4934,IPL-EQ,IPL,NSE
22177,735WB30-SG,735WB30,NSE
